Scan_number,ObjectX,ObjectY,ObjectLenght,ObjectWidth,ObjOrientation,NumerOfPoints
10.0,30.728758,-23.973221,4.946966,0.210268,108.999992,10.0
10.0,22.763443,-16.48451,0.372101,0.048126,179.0,3.0
10.0,5.098247,-5.216037,0.29872,0.218116,25.0,36.0
10.0,37.86132,-35.095436,2.552933,2.503761,55.0,11.0
10.0,-2.225726,-10.865421,1.094228,0.649559,9.0,54.0
10.0,-3.394242,-10.757923,0.371091,0.022098,130.999985,5.0
10.0,-3.579234,-9.883437,0.155168,0.026424,7.0,4.0
10.0,-4.64263,-9.871111,0.311502,0.031785,132.0,5.0
10.0,6.22618,10.056027,0.076255,0.000641,16.0,2.0
10.0,3.952842,6.434633,0.389714,0.289227,82.0,42.0
10.0,24.566689,15.4349,1.989727,0.730434,176.999985,12.0
10.0,43.205357,2.529847,1.036842,0.171101,157.0,6.0
10.0,50.431026,1.576614,6.220329,1.155216,160.0,10.0
10.0,55.652466,1.484388,0.020294,0.000111,179.0,2.0
10.0,59.661438,1.165748,0.05,0.05,0.0,1.0
10.0,63.672276,0.803557,0.05,0.05,0.0,1.0
10.0,67.654877,0.375426,0.05,0.05,0.0,1.0
10.0,73.495987,-0.111423,0.05,0.05,0.0,1.0
10.0,75.672546,-0.646156,0.05,0.05,0.0,1.0
11.0,-7.661989,6.499353,3.369821,0.904269,176.000015,44.0
12.0,5.215539,-5.078862,0.30042,0.069611,36.0,8.0
12.0,3.916374,6.365579,0.284111,0.272703,2.0,10.0
13.0,36.291378,-8.158881,1.838729,0.109577,64.0,7.0
13.0,27.508053,-8.313986,2.553276,0.131502,55.0,48.0
13.0,15.652414,-8.733467,6.196459,0.942295,61.0,186.0
13.0,26.176456,-10.351245,0.559547,0.001131,61.0,3.0
13.0,25.393215,-11.617778,0.05,0.05,0.0,1.0
13.0,6.767402,-4.871573,0.986969,0.128521,31.000002,19.0
13.0,12.524912,-8.667869,0.859686,0.766138,149.0,5.0
13.0,8.583355,-6.346932,0.109794,0.011995,70.0,3.0
13.0,10.572851,-7.881924,0.060964,0.00031,64.0,2.0
13.0,22.706284,-16.514473,0.317547,0.062338,171.0,3.0
13.0,30.66325,-24.008821,4.435421,0.081411,108.0,9.0
13.0,5.042433,-5.211197,0.268662,0.196817,20.0,39.0
13.0,37.76479,-35.225357,2.593349,2.468685,142.0,12.0
13.0,-2.347819,-10.690446,1.052986,1.032066,13.0,54.0
13.0,-3.402716,-10.804629,0.436421,0.023525,137.0,6.0
13.0,-3.528553,-9.711377,0.526415,0.205317,59.0,5.0
13.0,-4.68504,-9.901006,0.47329,0.030428,135.0,7.0
13.0,6.185283,10.069944,0.128358,0.000821,32.0,2.0
13.0,24.278147,15.864853,1.598379,1.438732,86.0,10.0
13.0,38.89172,2.840769,1.918381,0.305374,174.0,7.0
13.0,42.919441,2.493904,2.012424,0.346639,174.0,6.0
13.0,47.228992,2.213135,1.910152,0.104492,172.0,5.0
13.0,50.978451,1.571062,1.263638,0.468631,19.0,4.0
13.0,54.795757,1.253866,0.850922,0.007175,65.0,2.0
13.0,59.219604,1.140488,0.897121,0.001707,154.0,2.0
13.0,67.487434,0.599595,0.05,0.05,0.0,1.0
13.0,71.816513,0.131147,0.05,0.05,0.0,1.0
13.0,74.27076,-0.386454,0.05,0.05,0.0,1.0
13.0,78.05249,-1.463514,2.963051,0.111702,158.0,3.0
14.0,-4.959437,-8.592309,0.391758,0.05137,9.0,8.0
14.0,-4.003052,-10.009596,2.075802,0.482703,146.0,31.0
14.0,5.065985,-5.209457,0.302896,0.097221,33.0,8.0
15.0,-7.696031,6.504345,3.336349,0.919577,175.0,41.0
16.0,5.123885,-5.073331,0.245364,0.067636,49.0,7.0
16.0,3.879864,6.389806,0.334106,0.268934,84.999992,10.0
16.0,0.763281,5.564179,0.742391,0.217654,0.0,23.0
17.0,35.848885,-8.149924,1.696531,0.980827,57.999996,8.0
17.0,27.459679,-8.268829,2.569413,0.180712,55.0,47.0
17.0,15.693686,-8.753204,6.047266,0.721729,61.0,187.0
17.0,26.067387,-10.49519,0.389453,0.014336,57.999996,3.0
17.0,25.308132,-11.687374,0.05,0.05,0.0,1.0
17.0,6.705647,-4.896433,1.002275,0.151785,33.0,22.0
17.0,11.073478,-6.978973,0.05,0.05,0.0,1.0
17.0,12.94353,-8.72264,0.308844,0.001686,61.0,2.0
17.0,8.592914,-6.243357,0.379999,0.025716,63.000004,4.0
17.0,10.509388,-7.81891,0.208749,0.045612,62.000004,4.0
17.0,12.583713,-9.175042,0.05,0.05,0.0,1.0
17.0,22.602985,-16.570621,0.310781,0.001598,160.0,2.0
17.0,31.020346,-24.965807,3.035511,0.044502,108.999992,7.0
17.0,46.60392,-35.527363,1.175556,0.004406,122.999992,2.0
17.0,4.999873,-5.238256,0.275757,0.218893,28.999998,36.0
17.0,38.175377,-35.671558,3.435165,3.022606,169.000015,11.0
17.0,-2.379367,-10.78085,1.091543,0.838141,12.0,52.0
17.0,-3.398385,-10.855007,0.422555,0.044222,137.0,5.0
17.0,-3.585218,-9.963172,0.151283,0.042637,8.0,3.0
17.0,-4.718986,-9.886752,0.474192,0.046472,135.0,7.0
17.0,3.839965,6.426241,0.392067,0.262267,86.0,39.0
17.0,6.144226,10.076399,0.165924,0.001137,38.0,2.0
17.0,20.143644,26.675812,0.05,0.05,0.0,1.0
17.0,24.500601,15.377146,2.029314,0.71299,176.999985,11.0
17.0,36.965992,2.776835,6.208092,0.798316,176.000015,16.0
17.0,43.028046,2.514336,1.21011,0.066717,168.0,6.0
17.0,50.084736,1.738047,6.175129,1.55888,158.0,11.0
17.0,55.667664,1.435773,0.26424,0.000695,1.0,2.0
17.0,59.580238,1.122267,0.05,0.05,0.0,1.0
17.0,63.636917,0.747181,0.05,0.05,0.0,1.0
17.0,67.547127,0.327424,0.05,0.05,0.0,1.0
17.0,71.578438,-0.145244,0.05,0.05,0.0,1.0
18.0,-5.021675,-8.607233,0.370174,0.034126,176.000015,8.0
18.0,-4.481639,-9.871605,1.223674,0.28124,148.0,24.0
18.0,-3.368833,-10.251617,0.452543,0.073405,142.0,6.0
18.0,4.965126,-5.19956,0.29812,0.067576,45.999996,8.0
18.0,6.418416,-5.057243,0.194953,0.014477,56.0,5.0
19.0,-7.646552,6.828941,3.160649,0.262124,175.0,33.0
20.0,36.215992,-8.284924,1.61553,0.17226,63.000004,7.0
20.0,27.42778,-8.337682,2.592782,0.142166,57.999996,50.0
20.0,15.620569,-8.791101,6.04579,0.737024,61.0,185.0
20.0,26.073296,-10.41847,0.405479,0.000538,57.0,3.0
20.0,25.257849,-11.687432,0.194949,0.000692,60.0,2.0
20.0,10.721841,-7.445044,1.04378,0.006573,56.0,2.0
20.0,6.627598,-4.889812,0.996156,0.126773,37.0,23.0
20.0,8.536738,-6.277526,0.404585,0.038131,55.0,5.0
20.0,12.469783,-8.881675,0.578023,0.26844,154.0,3.0
20.0,9.685977,-7.438694,0.05,0.05,0.0,1.0
20.0,31.00639,-24.975697,2.539738,0.028238,108.999992,6.0
20.0,4.890853,-5.183504,0.315774,0.103668,45.999996,38.0
20.0,37.513271,-35.364006,2.475613,2.180342,146.0,9.0
20.0,-2.425777,-10.856181,1.06592,0.656473,12.0,50.0
20.0,-3.422816,-10.866232,0.450191,0.038813,133.0,6.0
20.0,-3.596117,-9.941325,0.191852,0.158617,159.0,4.0
20.0,-4.738284,-9.922954,0.557562,0.040194,135.0,7.0
20.0,3.806592,6.406446,0.369378,0.286169,82.0,43.0
20.0,6.117896,10.082777,0.15597,0.001301,38.0,2.0
20.0,21.209965,27.089102,1.891242,1.52495,161.999985,6.0
20.0,24.299955,15.25827,1.703959,0.492653,176.999985,11.0
20.0,38.909264,2.757196,1.944008,0.324004,174.0,7.0
20.0,42.913689,2.549029,2.02544,0.048203,174.0,5.0
20.0,47.089058,2.113074,1.93298,0.107471,172.0,6.0
20.0,51.439945,1.804276,0.337128,0.001307,2.0,2.0
20.0,54.712112,1.213135,0.876879,0.322422,64.0,3.0
20.0,58.746468,1.22125,0.05,0.05,0.0,1.0
20.0,63.047672,0.862701,0.05,0.05,0.0,1.0
20.0,67.568436,0.458063,0.05,0.05,0.0,1.0
20.0,71.808578,-0.01983,0.05,0.05,0.0,1.0
20.0,74.383705,-0.543438,0.05,0.05,0.0,1.0
20.0,78.030045,-1.424191,2.795753,0.530685,156.0,3.0
20.0,82.97541,-3.372988,3.010818,0.221434,164.0,3.0
21.0,5.102878,-5.054471,0.167714,0.029162,51.000004,5.0
21.0,3.815429,6.365496,0.307116,0.296676,80.0,10.0
21.0,0.718905,5.538833,0.652597,0.123399,176.000015,21.0
22.0,-5.07491,-8.603868,0.369644,0.041389,176.000015,8.0
22.0,-4.354461,-9.899773,1.564836,0.442975,146.0,27.0
22.0,4.889623,-5.228292,0.254752,0.036454,38.0,7.0
22.0,6.346908,-5.073638,0.191566,0.024349,62.000004,5.0
23.0,35.767578,-8.213223,1.688828,0.933434,59.0,8.0
23.0,27.342943,-8.374179,2.424337,0.116013,55.0,47.0
23.0,15.666217,-8.225207,5.024945,0.901304,57.999996,180.0
23.0,25.957838,-10.523284,0.407181,0.001041,55.0,3.0
23.0,25.186705,-11.695557,0.05,0.05,0.0,1.0
23.0,10.693478,-7.449583,1.139371,0.009099,57.0,4.0
23.0,8.822796,-5.764237,0.05,0.05,0.0,1.0
23.0,6.601495,-4.939504,0.978461,0.187286,28.0,21.0
23.0,8.385689,-6.450265,0.265021,0.045213,68.999992,8.0
23.0,12.579858,-9.187893,0.190597,0.01602,56.0,3.0
23.0,22.66923,-16.636749,0.05,0.05,0.0,1.0
23.0,14.224621,-11.218702,0.566933,0.352261,48.0,7.0
23.0,4.87718,-5.196491,0.351788,0.101906,35.0,40.0
23.0,37.037521,-34.875099,1.49143,1.207745,57.999996,8.0
23.0,39.27388,-37.333,0.05,0.05,0.0,1.0
23.0,-2.491682,-10.744019,1.06654,0.890569,10.0,50.0
23.0,-3.336092,-10.363625,1.141767,0.968312,135.0,11.0
23.0,-4.716109,-9.996562,0.480214,0.065798,141.0,7.0
23.0,3.760397,6.400478,0.355847,0.279418,83.0,38.0
23.0,21.265863,27.226107,1.877218,1.70451,158.0,5.0
23.0,24.246256,15.259165,1.695162,0.530252,176.000015,11.0
23.0,43.300407,2.392666,0.563957,0.131872,149.0,5.0
23.0,48.709911,1.629884,5.562557,0.835077,174.0,10.0
23.0,54.606598,1.016665,1.758301,0.005075,14.0,3.0
23.0,59.455978,0.88994,0.05,0.05,0.0,1.0
23.0,63.447037,0.514011,0.0098,6.5e-05,37.0,2.0
23.0,70.828857,0.067923,0.05,0.05,0.0,1.0
23.0,74.491699,-0.717152,1.931473,0.008677,164.0,2.0
24.0,-7.649256,6.517248,2.833981,0.907145,174.0,35.0
25.0,3.761058,6.368596,0.312317,0.291569,84.999992,10.0
25.0,0.679446,5.487608,0.581072,0.059208,0.0,19.0
26.0,35.865398,-8.132923,1.497301,0.785713,61.0,8.0
26.0,27.26627,-8.401993,2.579185,0.170956,54.0,50.0
26.0,15.586111,-8.861866,6.024862,0.567362,61.0,186.0
26.0,25.93784,-10.480155,0.403629,0.006489,57.0,3.0
26.0,25.120811,-11.749132,0.198206,0.000452,66.0,2.0
26.0,10.670341,-7.419832,0.946092,0.012409,59.0,4.0
26.0,8.464469,-6.216661,0.881649,0.028489,60.0,10.0
26.0,6.511236,-4.908031,0.950707,0.136982,33.0,27.0
26.0,12.843111,-8.632023,0.05,0.05,0.0,1.0
26.0,22.543104,-16.182798,1.12784,0.066319,91.999992,3.0
26.0,12.471879,-9.119505,0.05,0.05,0.0,1.0
26.0,4.77439,-5.204223,0.31271,0.094131,51.000004,41.0
26.0,37.15308,-34.652817,1.810076,1.24633,59.0,8.0
26.0,-2.558921,-10.789866,1.072812,0.796557,11.000001,50.0
26.0,-3.448809,-10.92451,0.366447,0.027074,130.999985,5.0
26.0,-3.665439,-10.047032,0.197498,0.079707,146.0,4.0
26.0,-4.768129,-9.971971,0.479959,0.042927,134.0,7.0
26.0,3.707035,6.410868,0.393011,0.267586,87.0,44.0
26.0,6.059882,10.111893,0.049619,0.00043,108.999992,2.0
26.0,21.094505,27.157326,1.872349,1.822474,77.0,8.0
26.0,24.21052,15.171677,1.701769,0.40148,175.0,9.0
26.0,50.363087,18.730234,0.914608,0.054214,176.000015,4.0
26.0,26.639681,3.658969,2.536694,0.652216,174.0,16.0
26.0,43.00489,2.371034,0.98127,0.110112,164.0,6.0
26.0,49.335121,1.817122,4.059608,1.363304,154.999985,9.0
26.0,55.416256,1.234677,0.031704,0.000124,5.0,2.0
26.0,59.395855,0.899548,0.05,0.05,0.0,1.0
26.0,63.411072,0.521884,0.05,0.05,0.0,1.0
26.0,67.411797,0.078436,0.05,0.05,0.0,1.0
26.0,73.276756,-0.432091,0.05,0.05,0.0,1.0
27.0,-5.19447,-8.612678,0.378379,0.046422,171.0,8.0
27.0,-4.55168,-9.822446,1.345561,0.451776,145.0,25.0
27.0,-3.443676,-10.300211,0.183662,0.146327,3.0,5.0
27.0,4.784124,-5.228446,0.28763,0.075631,52.0,8.0
27.0,6.275777,-5.100467,0.204584,0.069396,95.000008,5.0
28.0,-7.705596,6.500881,2.702869,0.922638,176.000015,33.0
29.0,4.896872,-5.106877,0.295698,0.055129,35.0,6.0
29.0,6.334756,-4.91204,0.138997,0.122768,16.0,5.0
29.0,3.684754,6.310371,0.306111,0.233153,176.999985,10.0
30.0,36.10994,-8.389268,1.636289,0.221035,56.0,7.0
30.0,26.867401,-8.967894,3.963946,0.130976,56.0,54.0
30.0,15.568656,-8.303713,5.010694,0.827938,57.999996,178.0
30.0,25.097733,-11.73632,0.198379,0.0014,62.000004,2.0
30.0,10.432165,-7.43288,1.018686,0.334684,59.0,7.0
30.0,8.402959,-6.238856,0.823422,0.027214,60.0,8.0
30.0,6.481423,-4.962515,0.874816,0.201838,22.999998,25.0
30.0,11.994784,-8.97526,1.090627,0.093401,157.0,4.0
30.0,22.462683,-15.593796,0.05,0.05,0.0,1.0
30.0,22.488302,-16.71546,0.05,0.05,0.0,1.0
30.0,14.12318,-11.259695,0.6702,0.388842,63.000004,10.0
30.0,31.005814,-24.982004,2.047398,0.018639,108.999992,5.0
30.0,4.76169,-5.228854,0.323691,0.13662,28.0,42.0
30.0,37.691788,-35.478985,3.115398,2.718733,151.0,9.0
30.0,-2.860938,-10.575434,1.605486,1.362841,11.000001,59.0
30.0,-4.790286,-10.008791,0.483514,0.027981,133.0,7.0
30.0,3.675363,6.39081,0.374182,0.289754,84.0,42.0
30.0,20.928654,26.29673,3.460768,1.648798,90.0,7.0
30.0,24.425287,14.998713,2.205273,0.146873,175.0,9.0
30.0,42.896137,2.341173,1.088203,0.089741,166.0,6.0
30.0,49.984489,1.380228,6.128639,1.136515,160.0,10.0
30.0,55.330887,1.203613,0.004181,1.3e-05,31.000002,2.0
30.0,59.384296,0.867973,0.05,0.05,0.0,1.0
30.0,63.379326,0.488176,0.05,0.05,0.0,1.0
30.0,67.335831,0.042878,0.05,0.05,0.0,1.0
30.0,73.124557,-0.469634,0.05,0.05,0.0,1.0
30.0,76.251312,-1.086262,1.80748,0.0112,175.0,2.0
31.0,-5.248196,-8.599275,0.361802,0.062292,168.0,8.0
31.0,-4.588218,-9.835247,1.417223,0.435353,148.0,25.0
31.0,-3.520792,-10.271349,0.295985,0.101553,154.0,6.0
31.0,4.718393,-5.23824,0.286804,0.097888,59.0,8.0
31.0,6.19529,-5.101059,0.188073,0.038367,68.0,5.0
32.0,-7.706106,6.476564,2.73566,0.956744,176.000015,33.0
33.0,36.027431,-8.539796,1.901942,0.261375,54.0,8.0
33.0,26.847364,-8.993817,3.955075,0.104523,57.0,52.0
33.0,15.491715,-8.298781,5.04031,0.872349,57.999996,177.0
33.0,25.042561,-11.731384,0.204364,0.000347,51.000004,2.0
33.0,10.544743,-7.464368,0.933534,0.018633,57.999996,4.0
33.0,6.370911,-4.939149,0.857689,0.119477,35.0,23.0
33.0,12.72595,-9.388016,0.911893,0.306235,132.0,5.0
33.0,8.190357,-6.504946,0.255443,0.050222,49.0,9.0
33.0,22.42856,-15.58678,0.05,0.05,0.0,1.0
33.0,11.180247,-8.576757,0.191385,0.001248,154.999985,2.0
33.0,22.457895,-16.71623,0.05,0.05,0.0,1.0
33.0,14.119963,-11.273594,0.519745,0.384157,30.0,7.0
33.0,4.949561,-5.30324,0.744952,0.458664,5.0,43.0
33.0,37.503193,-35.706875,3.34734,2.056707,127.0,10.0
33.0,-2.959164,-10.580626,1.481937,1.335237,13.0,59.0
33.0,-4.831966,-10.011951,0.558582,0.050785,140.0,8.0
33.0,3.601809,6.398561,0.394479,0.294271,86.0,45.0
33.0,20.472925,26.070011,3.425255,2.145361,51.000004,9.0
33.0,24.198433,14.979098,1.837324,0.13974,175.0,8.0
33.0,42.920357,2.285305,1.575714,0.086944,169.999985,6.0
33.0,46.99136,1.91471,0.834866,0.166243,159.0,6.0
33.0,51.506012,1.326418,0.363982,0.352489,103.0,4.0
33.0,55.553246,0.804443,0.888754,0.004261,63.000004,2.0
33.0,59.312454,0.856451,0.05,0.05,0.0,1.0
33.0,63.659389,0.467709,0.05,0.05,0.0,1.0
33.0,67.295837,0.019185,0.05,0.05,0.0,1.0
33.0,71.257019,-0.469379,0.05,0.05,0.0,1.0
34.0,3.655471,6.320411,0.325907,0.254172,175.0,10.0
35.0,-5.328285,-8.614383,0.45373,0.069488,4.0,9.0
35.0,-4.820716,-9.92989,1.215677,0.129172,146.0,23.0
35.0,-3.689031,-10.275906,0.386844,0.086715,158.0,8.0
35.0,4.659673,-5.237098,0.281371,0.068091,44.000004,8.0
35.0,6.108562,-5.105805,0.18909,0.028875,48.0,5.0
36.0,36.102039,-8.577682,1.915915,0.480572,68.0,8.0
36.0,26.738098,-9.064395,3.742683,0.097738,56.0,53.0
36.0,15.404222,-8.909092,6.012874,0.417603,59.0,189.0
36.0,25.022257,-11.727782,0.197568,4.2e-05,67.0,2.0
36.0,10.429262,-7.544824,0.998721,0.059751,61.0,7.0
36.0,8.247532,-6.243395,0.815944,0.091547,60.0,9.0
36.0,6.319743,-4.945493,0.914077,0.117373,36.0,30.0
36.0,10.990705,-8.45025,0.100476,0.000737,63.000004,2.0
36.0,13.193775,-9.905998,0.05,0.05,0.0,1.0
36.0,31.067549,-25.242012,1.531437,0.012075,108.0,4.0
36.0,4.635912,-5.224992,0.345388,0.131065,28.0,39.0
36.0,36.807442,-34.8717,1.763401,1.661621,11.000001,8.0
36.0,-2.927703,-10.871972,1.459542,0.746608,13.0,55.0
36.0,-3.677227,-10.060162,0.209999,0.208912,75.0,4.0
36.0,-4.807065,-10.073034,0.494058,0.047261,134.0,7.0
36.0,3.585706,6.369037,0.366966,0.298081,80.0,46.0
36.0,20.068592,26.610418,0.575232,0.004869,76.0,2.0
36.0,24.824888,14.913981,3.171169,0.167072,175.0,9.0
36.0,38.817299,2.540236,1.85046,0.332245,173.0,7.0
36.0,42.79784,2.318017,2.040886,0.041874,174.0,5.0
36.0,46.621834,2.006779,1.34058,0.015727,179.0,6.0
36.0,51.427666,1.521544,0.38308,0.002265,2.0,2.0
36.0,55.171738,0.850938,0.790243,0.003174,103.0,2.0
36.0,58.554016,0.897776,0.05,0.05,0.0,1.0
36.0,62.971119,0.529575,0.05,0.05,0.0,1.0
36.0,67.52375,0.090235,0.05,0.05,0.0,1.0
36.0,71.495422,-0.395822,0.05,0.05,0.0,1.0
36.0,74.213943,-0.919423,0.05,0.05,0.0,1.0
37.0,-7.750505,6.518806,2.649282,0.891655,175.0,32.0
38.0,3.57923,6.297323,0.298406,0.273481,171.0,10.0
38.0,0.610425,5.571725,0.446556,0.233631,0.0,14.0
39.0,35.984894,-8.638035,1.65945,0.308056,67.0,7.0
39.0,26.674641,-9.121278,3.940185,0.122486,57.0,54.0
39.0,15.373162,-8.36572,5.014205,0.84297,57.999996,180.0
39.0,24.98974,-11.680556,0.1984,0.001661,60.0,2.0
39.0,10.563892,-8.294134,1.143867,0.183663,139.0,7.0
39.0,8.057177,-6.195195,0.782202,0.406442,61.0,15.0
39.0,6.255959,-4.959675,0.882042,0.12735,39.0,24.0
39.0,12.5883,-9.451231,0.98321,0.363527,111.0,4.0
39.0,22.272793,-15.687506,0.05,0.05,0.0,1.0
39.0,22.362936,-16.666891,0.05,0.05,0.0,1.0
39.0,13.919468,-11.297506,0.570019,0.323191,52.0,6.0
39.0,31.030537,-25.339729,1.006916,0.005545,107.0,3.0
39.0,4.556319,-5.239434,0.329221,0.090455,44.000004,41.0
39.0,36.812267,-34.803226,1.815714,1.201679,57.0,7.0
39.0,-3.031363,-10.603523,1.405308,1.311637,13.0,57.0
39.0,-4.848975,-10.097179,0.418243,0.028051,130.999985,6.0
39.0,3.531516,6.375048,0.381101,0.274144,84.0,52.0
39.0,20.200104,26.88163,1.281982,0.003335,62.000004,2.0
39.0,24.051233,14.975928,1.664417,0.230358,173.0,7.0
39.0,70.398407,-0.253394,0.05,0.05,0.0,1.0
39.0,73.127838,-0.777341,0.05,0.05,0.0,1.0
39.0,75.255753,-0.919407,0.05,0.05,0.0,1.0
40.0,-5.415203,-8.599904,0.363763,0.063773,175.0,8.0
